样品两端电压(mV),铂温度计两端电压(mV),次级线圈两端电压(mV)
0.408,102.64,9.29
0.398,98.94,9.31
0.388,96.23,9.35
0.382,92.23,9.37
0.368,88.22,9.40
0.351,84.57,9.45
0.337,80.60,9.50
0.320,76.13,9.58
0.304,72.31,9.64
0.288,68.35,9.70
0.272,64.03,9.77
0.259,60.19,9.82
0.230,52.24,9.95
0.213,48.42,10.02
0.198,44.30,10.08
0.182,40.64,10.15
0.170,37.10,10.20
0.164,35.95,10.23
0.160,35.40,10.25
0.148,32.58,10.31
0.087,30.65,10.16
0.001,29.36,7.45
0.001,26.33,6.81
0.000,23.24,6.68
0.000,22.67,6.67
0.000,22.30,6.66
0.000,22.08,6.66
